Row Labels,Sum of Amount
9188-6309 Quebec Inc,-252.95
9188-6309 Quebec Inc,-252.95
Tax Agency,-1270.58
Canada Revenu Agency,-31.7
Ministère du Revenu du Québec (D.A.S.),-119.02
Ministry of Finance BC,-1119.86
Lan Xin Hou,-936.52
Lan Xin Hou,-936.52
Livingston International inc.,-5280.34
Livingston International inc.,-5280.34
Manulife,-1377
Manulife,-1377
Parcelz,-1493.22
Parcelz,-1493.22
Patrick Vinson,-2700
Patrick Vinson,-2700
Rogers,-197.36
Rogers,-197.36
TD Canada Trust,-4
TD Canada Trust,-4
VIDEOTRON,-193.49
VIDEOTRON,-193.49
(blank),14137.5
(blank),14137.5
Grand Total,432.04
